,FileID,paragraphCount,Readability,male,female,TypeTokenRatio,sentimentpos,sentimentneg,sentimentneu,Names,Setting,tensefuture,tensepast,tensepresent,Coordinatingconjunction,PersonalPronoun,PossessivePronoun,Genre
308,308,141.77778,41.72773,44,11,27.39727,0.16211,0.06756,0.77044,118,367,150.66667,802.66667,440,345.66667,936.44444,308.66667,Literary
309,309,157.75,39.72528,54,44,26.27791,0.13125,0.07842,0.79042,213,518,127.08333,903.33333,381.25,478.66667,737,249.83333,Literary
310,310,187.28571,40.09935,34,25,26.37144,0.13529,0.07129,0.79336,207,735.71429,240.28571,788,500.5,298.5,970.28571,237.14286,Literary
311,311,163.2381,44.45216,67,47,24.86509,0.13952,0.10543,0.75519,252,610.66667,168,817.04762,437.19048,405,841.90476,303.42857,Literary
312,312,282,48.81478,40,28,23.16886,0.18357,0.07386,0.74243,170,620.71429,176.71429,700.71429,575.71429,335.28571,975.42857,175.28571,Literary
313,313,137.33333,42.09675,27,14,27.61516,0.10311,0.08611,0.81078,104,326.66667,152.11111,846.22222,433.11111,352.11111,768.22222,250.77778,Literary
314,314,178.25,43.37617,73,64,24.74,0.14113,0.11169,0.74719,293,581.625,169.3125,871.9375,392.125,439.4375,893.3125,346.8125,Literary
315,315,184,47.29053,97,44,22.56482,0.14783,0.09452,0.75761,308,330.6087,209.52174,767.13043,480.52174,388.6087,967.04348,303.47826,Literary
316,316,168.66667,38.31324,108,34,29.12149,0.11489,0.06711,0.81811,334,476.88889,107.77778,793.33333,413,465,557.11111,241.66667,Literary
317,317,148.44444,39.7986,25,22,28.78822,0.12167,0.06189,0.81644,101,320.33333,144.55556,904.22222,414.33333,323.55556,862.88889,303.22222,Literary
318,318,192.77778,44.14655,36,24,26.1725,0.12689,0.08322,0.78989,225,584.77778,143.44444,876.11111,410,362.77778,964.33333,247.33333,Literary
319,319,119.5,44.87488,24,14,24.08168,0.10425,0.08887,0.80688,81,310.375,149.375,922.875,423,340.375,906.25,240.5,Literary
320,320,272.66667,46.75956,60,19,24.63151,0.11922,0.07956,0.801,176,679.77778,144.77778,836.77778,522.88889,340.55556,824.88889,235.88889,Literary
321,321,99.7,17.02042,88,27,33.19967,0.137,0.0721,0.7911,262,478.4,89.3,728.9,399.1,448.9,448.7,263,Sea and Adventure
322,322,203.64706,49.74901,23,20,25.13655,0.13076,0.07465,0.79465,110,572,165.29412,972.11765,457.29412,353.64706,1050.23529,239.23529,Literary
323,323,105.25,42.47863,41,18,26.78214,0.08883,0.10633,0.80492,138,296.08333,160.91667,1096.66667,373.66667,333.83333,850.91667,284,Detective and Mystery
324,324,174,46.28285,19,3,29.44806,0.11271,0.069,0.81829,72,434,176.28571,814.85714,438.71429,365.57143,896.42857,216.28571,Literary
325,325,153.75,37.40681,18,4,26.6275,0.08537,0.084,0.83087,53,254.75,98.5,1004.875,341.75,293,802.375,248.625,Literary
326,326,139,43.12918,64,25,29.08625,0.12757,0.06486,0.80771,201,505.14286,156.57143,783.71429,512.28571,391.28571,834.85714,213.71429,Literary
327,327,222.33333,35.76184,21,16,32.50284,0.12011,0.10467,0.77522,72,413.55556,124.77778,785.88889,431.66667,336.55556,723.55556,235,Literary
328,328,172.72727,45.98312,20,15,27.08852,0.10736,0.08564,0.80709,85,347.27273,121.09091,966.54545,389.45455,297.45455,725.18182,326.18182,Literary
329,329,234.63636,47.65933,29,4,26.95728,0.09427,0.11636,0.78927,98,461.63636,112,996.90909,325.36364,414.54545,776.90909,268.45455,Literary
330,330,117.875,46.73575,25,13,23.59429,0.12162,0.07713,0.80112,87,387.375,166.875,865.875,392.125,342,778,261.125,Literary
331,331,182.42857,42.192,21,20,25.18806,0.13943,0.07414,0.78643,102,436.14286,210,798.85714,432,305.71429,805.71429,272.14286,Literary
332,332,210.69231,29.6341,95,41,35.89429,0.10654,0.08323,0.81015,309,759.84615,83.76923,839.46154,413.69231,314.84615,564.15385,271.38462,Literary
333,333,275.4,44.93901,32,13,22.90333,0.1412,0.0936,0.7652,91,427,148,761.4,426.2,432.4,818.4,288.8,Literary
334,334,134.36364,41.21288,56,19,23.21512,0.13573,0.08155,0.78273,172,420.90909,162.36364,772.90909,472.54545,406.27273,857.18182,225.27273,Literary
335,335,147.18182,37.12431,33,23,29.09287,0.14336,0.08509,0.77164,131,383,164.09091,749.36364,551.18182,380.72727,797.90909,240.72727,Literary
336,336,224.66667,45.8112,53,20,26.7029,0.11167,0.07589,0.81244,172,548.88889,137.77778,827.33333,466.77778,295.33333,833.11111,294,Literary
337,337,187.88889,45.59018,24,15,27.14289,0.13067,0.09567,0.77389,98,400.77778,142.11111,908.66667,412.55556,322.33333,906.66667,290.77778,Literary
338,338,119.66667,44.40181,10,4,27.11729,0.11567,0.07033,0.814,31,234.66667,121.66667,931.66667,340.33333,312,675.33333,274.33333,Literary
339,339,260.4,50.76789,54,23,28.74361,0.0984,0.0771,0.8243,222,591.4,153,1034.8,427,311.5,916.4,184.3,Literary
340,340,169.66667,54.34785,51,11,25.25903,0.0885,0.08283,0.82867,154,437.5,109.5,892.66667,383.66667,330.33333,690.16667,242.83333,Literary
341,341,208.875,43.4402,42,15,28.63934,0.13112,0.07538,0.79325,146,153,115.25,911.125,339.75,371.5,621.375,165.75,Literary
342,342,238.9,46.80427,15,23,22.98061,0.1804,0.1186,0.701,68,396.7,152.2,837.7,419.6,351.5,777.9,331.2,Literary
343,343,147,56.20258,27,16,25.51438,0.13288,0.095,0.77213,118,509.5,183,946.625,431.75,348.125,1111.75,229.25,Literary
344,344,370.58333,41.9253,142,78,29.59505,0.12658,0.08275,0.79075,512,1062.41667,93.75,758.58333,551.75,338.83333,809.41667,234.5,Literary
345,345,48.85714,34.93173,14,7,24.87851,0.10071,0.11871,0.78057,49,196.28571,140.28571,776.57143,386.85714,348.85714,659.71429,259.42857,Literary
346,346,61,34.96647,3,4,18.81248,0.168,0.099,0.733,20,156,138,770.5,386.5,347.5,662.5,286.5,Literary
347,347,215.59091,58.62889,127,45,23.09505,0.11082,0.08436,0.80473,418,934.54545,192.77273,834.04545,524.04545,360.95455,1040.86364,199.18182,Literary
348,348,235.09091,49.73159,39,21,25.96888,0.123,0.08191,0.795,173,561.27273,160.72727,913.45455,402,389.90909,870.27273,230,Literary
349,349,167.70588,50.77255,64,23,22.53319,0.113,0.06824,0.81882,204,498.82353,177.05882,837.35294,472.11765,417.23529,959.23529,289.94118,Literary
350,350,227.1,45.86618,14,3,26.0505,0.0814,0.0872,0.8313,55,423.5,170.6,868.1,450.1,324.3,789.3,254.6,Literary
351,351,182.14286,43.51854,39,17,27.51174,0.14243,0.101,0.75643,103,373.71429,165.71429,821.28571,444,387.71429,765.14286,254,Literary
352,352,330.75,44.72412,10,8,27.47373,0.09475,0.08575,0.8195,53,748.5,160.75,952.5,421.5,353,1031.5,214.75,Literary
353,353,167.28571,40.88679,59,13,29.39382,0.11271,0.09129,0.79586,188,360.85714,134.14286,738.85714,380.14286,391.57143,578.28571,209.71429,Literary
354,354,59,28.90176,52,16,29.48583,0.13122,0.08311,0.78567,164,331.44444,144.44444,835,324.66667,488,482.33333,222.77778,Literary
355,355,159.71429,41.8899,39,34,27.88284,0.12543,0.06257,0.812,167,537.14286,153.57143,777.42857,437.85714,335.57143,709.57143,249.85714,Literary
356,356,262.90909,48.44817,16,9,23.6194,0.11345,0.10473,0.78182,72,470.09091,154.81818,958.90909,520.36364,348.54545,833.54545,246.09091,Literary
357,357,289.625,51.34647,22,12,21.32175,0.10656,0.09763,0.79587,100,665.875,148.5,812.1875,494,394.75,763.5,206.625,Literary
358,358,157.28571,47.51794,35,14,24.22046,0.11036,0.09479,0.79471,126,500.21429,195.85714,841.5,440.78571,356.07143,1031.92857,255,Literary
359,359,161,43.64019,36,34,26.63066,0.14629,0.09253,0.76118,196,468.82353,173.64706,899.35294,372.52941,397.05882,872.17647,312.35294,Literary
360,360,290.76471,43.98236,25,15,25.34464,0.12824,0.12276,0.74906,107,606.29412,170.35294,878.52941,437.58824,312.11765,819.17647,297.35294,Literary
361,361,145.05556,48.4702,51,39,24.64168,0.12294,0.08428,0.79278,251,581.88889,150.22222,841.66667,483.38889,367.33333,985.88889,314.38889,Literary
362,362,224.1,41.65987,21,22,23.45155,0.1535,0.126,0.7204,87,516.4,193.5,813.7,460.1,239.7,872.2,335.8,Sea and Adventure
363,363,61.375,27.30634,186,70,28.23909,0.12387,0.05638,0.81987,563,717.375,126.25,379.25,526,345,349.375,150.5,Literary
364,364,163.125,47.75618,34,18,25.0047,0.14375,0.08838,0.76788,96,409.125,187.75,892.75,441.75,363.75,963.375,270.625,Literary
365,365,312,43.74713,44,22,27.91191,0.09838,0.08762,0.81413,151,716.875,127.25,850.625,509.125,314,808.375,241,Literary
366,366,199.9375,49.3776,67,20,23.67963,0.14444,0.06388,0.7915,213,490.4375,109.375,702.375,565.625,381.3125,729.5625,219.375,Literary
367,367,200.6,43.02134,14,17,24.51418,0.16333,0.11193,0.72467,79,369.2,131.8,825.26667,442.66667,334.06667,717.26667,323.26667,Literary
368,368,163.5,43.46654,56,16,24.81042,0.101,0.0846,0.8143,144,397,182.8,680.8,454.9,339.1,776.6,220,Literary
369,369,336.09091,55.09616,13,10,19.22912,0.11227,0.08555,0.80264,60,588.63636,162.45455,1074.81818,505.18182,281.18182,1227.27273,233.90909,Literary
370,370,136,34.3862,8,7,27.5317,0.13033,0.08567,0.784,70,343.33333,131.33333,887.66667,420,436.33333,675,252,Literary
371,371,147.28571,43.68569,97,34,28.84281,0.1615,0.07707,0.76171,256,484.92857,170.71429,845.42857,352,412.78571,633.35714,217.14286,Literary
372,372,119.66667,36.43589,24,5,29.95504,0.11133,0.07017,0.81883,62,306.33333,119.83333,704.66667,488.16667,332.5,678,259.33333,Literary
373,373,133,42.31026,9,6,24.14392,0.13967,0.09517,0.76517,36,178,163.83333,998.33333,298.5,333.16667,901.66667,380.16667,Literary
374,374,175.33333,42.87727,5,4,28.39,0.08667,0.09033,0.82267,21,302.33333,100.66667,1079,277,309.66667,705.66667,244.66667,Literary
375,375,233,41.68635,15,17,29.64,0.13057,0.07243,0.797,85,639,141.42857,715.14286,593.14286,307.57143,915.14286,260.71429,Literary
376,376,123.28571,37.78712,34,15,26.92709,0.12021,0.093,0.78693,139,449.07143,151.78571,932.21429,396.5,345.07143,819.92857,285.07143,Detective and Mystery
377,377,268.8,43.4302,24,9,27.85275,0.135,0.1052,0.7594,72,487.2,92.6,791.4,414.6,367.6,717.6,252.4,Literary
378,378,179,47.48242,49,17,22.2234,0.13144,0.05444,0.814,220,636.55556,178,852.88889,449.77778,427.22222,702.88889,228.88889,Literary
379,379,223.09091,40.50368,31,9,27.68146,0.12818,0.09682,0.77491,105,520,149.54545,855.18182,519.45455,324.09091,878,248.27273,Literary
380,380,100.4,41.68687,74,47,27.40559,0.12653,0.08207,0.79133,306,545.33333,106.06667,783.46667,481.46667,462.66667,616.33333,277,Literary
381,381,224.33333,42.88092,18,7,28.68918,0.094,0.06467,0.84133,58,457,135.66667,925.66667,382.66667,358.33333,849.33333,250.66667,Literary
382,382,77.85714,41.37074,72,23,34.7837,0.11957,0.06643,0.81414,260,434.28571,101.85714,421,701.57143,340,611.57143,217.28571,Literary
383,383,242.5,46.34167,58,21,28.52206,0.13125,0.08075,0.7875,181,512.25,115,699.25,473,355.75,630.25,248,Literary
384,384,85.15,45.32404,48,32,23.18968,0.15105,0.0828,0.766,213,489.5,156.5,863.35,420.1,347.35,809.75,259.95,Literary
385,385,87.875,37.1021,33,13,30.22896,0.14238,0.06512,0.7925,120,128.25,122.375,721.75,389,382.75,678.125,259.875,Literary
386,386,285.125,52.90148,19,7,23.09562,0.10212,0.06875,0.82925,71,609,176.5,757,641.75,249.375,1054.5,236.375,Literary
387,387,127.25,53.20649,13,13,21.51986,0.122,0.11208,0.76583,90,297.16667,158.16667,1057.83333,291,330.25,917.16667,327.75,Literary
388,388,131.625,42.71793,12,7,23.87762,0.12275,0.06462,0.81262,37,310.625,180.125,778.125,490.625,419,1009.25,323.25,Literary
389,389,116.53846,37.64529,43,33,28.23526,0.10577,0.06146,0.83277,178,424,123.23077,918.84615,276.46154,331.23077,582.69231,269.69231,Literary
390,390,112.33333,27.52337,181,71,28.05437,0.11533,0.055,0.82967,550,685,133.22222,383.22222,562,346.77778,376.55556,159.66667,Literary
391,391,296.66667,56.92938,10,6,18.94211,0.17967,0.0995,0.72083,37,474.33333,161.66667,1061.16667,441.83333,333.66667,1157.83333,297.16667,Literary
392,392,224.55556,51.72096,28,8,22.54546,0.11744,0.07267,0.81011,90,640.11111,113.77778,1000.66667,406.11111,329.88889,833.11111,190.88889,Detective and Mystery
393,393,241.5,47.74603,23,14,22.2775,0.146,0.08813,0.76575,66,392.375,176,914.5,390.125,274.25,928.25,306.125,Sea and Adventure
394,394,115.77778,35.48094,65,24,27.78504,0.12233,0.07417,0.80356,304,587.72222,130.77778,723.16667,431,346.16667,628.05556,265.16667,Literary
395,395,59,44.92132,5,2,21.42571,0.087,0.0585,0.854,20,82,98.5,925,368,436,674,180.5,Sea and Adventure
396,396,109.92857,49.26981,70,17,28.64766,0.108,0.0735,0.8185,258,469.85714,124.28571,877,454.21429,350.57143,949.57143,229.78571,Literary
397,397,132.375,42.098,44,16,29.17183,0.13663,0.07888,0.78462,122,328,174.875,796.375,445.5,310.125,830.75,235.875,Literary
398,398,112,24.26524,37,10,31.41372,0.0926,0.0824,0.825,125,315.4,134.4,702.4,431,405.6,561.8,231.8,Literary
